Month, Dividend Buy-Write , Dividend Buy-Write-Benchmark, Smart Beta LO , JSHRALTR , Smart Beta LS , CASH+7 , CTA , TOP40TR , Smart Beta MN , CASH+5 , Smart Beta Global , SPG1200T 
28/02/2011,-0.0054,0.0113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/03/2011,0.0442,0.0149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/04/2011,0.0245,0.0224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/05/2011,-0.0027,0.0058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/06/2011,0.0142,-0.0098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/07/2011,0.0074,-0.0033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/08/2011,0.0132,0.0027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/09/2011,-0.021,-0.0228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/10/2011,0.0421,0.0569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/11/2011,0.0365,0.0071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/12/2011,0.0105,-0.0067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/01/2012,0.0273,0.0277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/02/2012,0.037,0.0269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/03/2012,0.0143,0.0086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/04/2012,0.0229,0.0188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/05/2012,0.0055,-0.0101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29/06/2012,0.0121,0.0129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/07/2012,0.0055,0.0321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/08/2012,0.0137,0.0285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/09/2012,0.0134,-0.0034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/10/2012,0.0168,0.0266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/11/2012,0.0167,0.0324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/12/2012,0.0175,0.0178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/01/2013,0.0111,0.0256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/02/2013,-0.0084,0.0012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/03/2013,-0.0129,0.0134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/04/2013,-0.0062,-0.0025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/05/2013,0.0422,0.0586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28/06/2013,-0.0306,-0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31/07/2013,0.0313,0.0225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/08/2013,0.0151,0.0072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30/09/2013,0.0429,0.0359,0.0564,0.0557,NA,NA,NA,NA,NA,NA,NA,NA
31/10/2013,0.0278,0.0222,0.0524,0.0414,NA,NA,NA,NA,NA,NA,NA,NA
29/11/2013,0.0024,-0.0032,-0.0111,-0.016,-0.0152,0.0099,-0.0052,-0.011,NA,NA,NA,NA
31/12/2013,0.0214,0.0255,0.0295,0.035,0.0164,0.0103,0.0234,0.033,NA,NA,NA,NA
31/01/2014,-0.0231,-0.03,-0.0578,-0.0334,-0.0327,0.0102,-0.0379,-0.021,NA,NA,NA,NA
28/02/2014,0.0205,0.0373,0.0183,0.049,0.0016,0.0099,0.0255,0.054,NA,NA,NA,NA
31/03/2014,0.0517,0.0095,0.0503,0.0333,0.0132,0.0105,-0.0016,0.015,NA,NA,NA,NA
30/04/2014,0.0163,0.0089,0.0376,0.0152,0.0134,0.0104,0.0298,0.023,NA,NA,NA,NA
30/05/2014,0.0133,0.0289,0.0016,0.0228,0.0139,0.0105,0.0109,0.019,NA,NA,NA,NA
30/06/2014,0.0093,0.0192,0.0338,0.0276,0.035,0.0107,0.0227,0.03,NA,NA,NA,NA
31/07/2014,0.0081,-0.0056,0.0196,0.0136,-0.0032,0.0108,0.0095,0.006,NA,NA,NA,NA
29/08/2014,0.0099,0.0074,0.009,0.0061,0.0128,0.0105,0.0062,-0.008,0.0001,0.0089,NA,NA
30/09/2014,-0.0085,-0.0091,-0.0229,-0.0243,0.0296,0.0111,0.0032,-0.026,0.0112,0.0094,NA,NA
31/10/2014,-0.0109,0.0289,0.0259,0.0283,0.0197,0.011,0.0315,0.007,0.0055,0.0093,NA,NA
28/11/2014,0.0019,0.012,0.0282,0.0062,0.0061,0.0105,0.033,-0.002,0.0138,0.0088,NA,NA
31/12/2014,0.0028,0.008,-0.0008,0.0028,0.0026,0.0114,0.0007,-0.005,0.0093,0.0097,NA,NA
31/01/2015,0.0127,0.0223,0.0414,0.0399,-0.0216,0.0109,0.0507,0.026,-0.0157,0.0092,NA,NA
28/02/2015,0.0176,0.0212,0.0376,0.0256,0.0313,0.0106,0.0235,0.045,0.0059,0.0089,NA,NA
31/03/2015,-0.0033,0.0002,0.0205,0.002,0.0705,0.0113,0.0186,-0.015,0.0031,0.0096,NA,NA
30/04/2015,0.0367,0.0274,0.0296,0.0431,0.016,0.0109,0.0195,0.052,0.0047,0.0093,NA,NA
31/05/2015,-0.0252,-0.0215,-0.0509,-0.0486,-0.0147,0.0108,-0.0538,-0.04,-0.0047,0.0091,NA,NA
30/06/2015,0.0137,0.0059,-0.0048,0.0064,0.0088,0.0113,0.002,-0.002,-0.0044,0.0096,-0.0231,-0.0237
31/07/2015,0.0118,0.0138,0.0248,-0.0015,0.0484,0.0111,0.0138,0.009,0.0245,0.0095,0.0293,0.0135
31/08/2015,-0.0242,-0.0294,-0.0199,-0.031,-0.01,0.0112,-0.01,-0.043,-0.0075,0.0095,-0.0616,-0.0652
30/09/2015,0.005,0.0216,-0.0056,-0.01,0.0249,0.011,-0.0065,0.02,0.0217,0.0094,-0.0097,-0.0354
31/10/2015,0.0615,0.0499,0.0729,0.0728,0.0418,0.0111,0.0386,0.079,0.0359,0.0094,0.0681,0.0796
